,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
0,Planet Zero,Shinedown,3GL1RQKHV0TDRq8EXHMhGq,2022-01-26,0.416,0.964,-2.967,0.112,2.35e-05,0.473,0.212,157.925,
1,Black Summer,Red Hot Chili Peppers,3a94TbZOxhkI9xuNwYL53b,2022-02-04,0.417,0.682,-5.071,0.0295,0.0267,0.109,0.351,105.542,
2,Love Dies Young,Foo Fighters,5suO1J3cXSVWJ7ED3kasKQ,2021-02-05,0.502,0.977,-3.563,0.0581,0.00121,0.129,0.388,139.995,
3,So Called Life,Three Days Grace,5EIKp1TKhUNdsThloWPa53,2021-11-29,0.502,0.905,-4.162,0.0634,0.00021,0.0601,0.481,160.064,
4,Love Dies Young,Foo Fighters,5suO1J3cXSVWJ7ED3kasKQ,2021-02-05,0.502,0.977,-3.563,0.0581,0.00121,0.129,0.388,139.995,0.02815145782095274
5,For The Glory (feat. Hollywood Undead),All Good Things,2A0i4ouphiRJ1TG40WWOBM,2021-08-20,0.467,0.845,-3.774,0.0582,0.000383,0.1,0.547,141.954,-0.10630933235851181
6,CHAOS,Hollywood Undead,7MKG6MvGpmE8qkdzXS4Rfe,2022-02-25,0.532,0.926,-3.438,0.171,0.000545,0.35,0.498,139.92,-0.1135114591152151
7,"Catching Fire (feat. nothing,nowhere.)",Sum 41,0M0iDfjwyJwRWBS1Wpocd5,2021-05-28,0.558,0.822,-6.12,0.0577,0.0016,0.0894,0.513,140.98,-1.192484918274264
8,Somebody Told Me,Motionless In White,1KF6uW84ksAUlTMy08gP1R,2020-09-09,0.486,0.961,-3.687,0.0776,1.01e-05,0.121,0.65,138.029,-1.88074769975327
9,Somebody,Memphis May Fire,32OjCvkJLW1ADWiy8wSltr,2021-10-01,0.479,0.99,-2.801,0.102,0.00661,0.104,0.637,137.979,-2.1341069891582545
10,Fear Of The Dawn,Jack White,4v6soAl2R4sJB6Iyt2aiHw,2022-02-11,0.285,0.923,-6.701,0.0973,0.000537,0.525,0.16,139.211,-2.254567477177094
11,Go To War,NOTHING MORE,4A0LV6W7IUKPP2pyAZ356E,2017-09-15,0.461,0.892,-4.807,0.0901,0.00187,0.0942,0.35,137.35,-2.637634535572196
12,Times Like These,Foo Fighters,67vYdAAM3oGsEImCRfbtsF,2002-10-22,0.376,0.908,-3.793,0.0879,1.4e-05,0.241,0.266,144.581,-2.705005594442292
13,when we were broken,Our Last Night,2DA2R8axDHMeq1JSbbm10M,2021-10-22,0.514,0.92,-4.235,0.076,0.000929,0.149,0.248,145.009,-3.140222153706951
14,Chasing Birds,Foo Fighters,2jKnUcyrCADkeSy6gcN1qa,2021-02-05,0.62,0.532,-7.297,0.023,0.0392,0.112,0.369,143.993,-3.593875767699596
